projectId	terminologyId	name	description
2705	541000172109	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	551000172106	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	751000172100	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	731000172109	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	741000172102	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	TMP-obh9n2	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	TMP-z5unp6	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	40811000172108	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	721000172106	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	561000172108	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	541000172109	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	551000172106	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	751000172100	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	731000172109	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	741000172102	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	40811000172108	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	50861000172108	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	50851000172106	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	50841000172109	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	50831000172102	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	561000172108	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	541000172109	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	551000172106	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	50841000172109	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	50851000172106	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	50861000172108	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	50831000172102	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	40811000172108	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	751000172100	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	731000172109	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	741000172102	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	721000172106	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	TMP-trzo3i	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	TMP-rrk9nq	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	TMP-dtggnz	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
2705	TMP-z5unp6	Belgian Extension Project	Project containing all the refsets for the official Belgian Extension
953	100	Belgian NRC Project	Belgian NRC Project
953	2018001	Belgian NRC Project	Belgian NRC Project
953	999	Belgian NRC Project	Belgian NRC Project
953	900	Belgian NRC Project	Belgian NRC Project
953	TMP-aoiaao	Belgian NRC Project	Belgian NRC Project
953	TMP-ftynwd	Belgian NRC Project	Belgian NRC Project
953	TMP-7w9h41	Belgian NRC Project	Belgian NRC Project
953	TMP-e4ckbp	Belgian NRC Project	Belgian NRC Project
953	TMP-41n9ri	Belgian NRC Project	Belgian NRC Project
953	TMP-3w82i3	Belgian NRC Project	Belgian NRC Project
953	LR_001	Belgian NRC Project	Belgian NRC Project
1401	TMP-emlgjg	Belgian NRC Project (TS)	Belgian NRC Project using terminology server
1401	TMP-1owamh	Belgian NRC Project (TS)	Belgian NRC Project using terminology server
1401	TMP-1owamh	Belgian NRC Project (TS)	Belgian NRC Project using terminology server
1401	TMP-evp7dh	Belgian NRC Project (TS)	Belgian NRC Project using terminology server
1401	TMP-ezyhzr	Belgian NRC Project (TS)	Belgian NRC Project using terminology server
1401	TMP-nwujn9	Belgian NRC Project (TS)	Belgian NRC Project using terminology server
1401	TMP-0kwext	Belgian NRC Project (TS)	Belgian NRC Project using terminology server
1401	TMP-usjrea	Belgian NRC Project (TS)	Belgian NRC Project using terminology server
1401	test	Belgian NRC Project (TS)	Belgian NRC Project using terminology server
1401	TMP-e9c3a9	Belgian NRC Project (TS)	Belgian NRC Project using terminology server
801	TMP-i0103m	Canada Infoway Project	Canada Infoway Project
801	TMP-c7rpi3	Canada Infoway Project	Canada Infoway Project
801	TMP-k4912j	Canada Infoway Project	Canada Infoway Project
801	23671000087102	Canada Infoway Project	Canada Infoway Project
801	TMP-6gd6x6	Canada Infoway Project	Canada Infoway Project
801	2.16.840.1.113883.2.20.3.210	Canada Infoway Project	Canada Infoway Project
801	2.16.840.1.113883.2.20.3.210	Canada Infoway Project	Canada Infoway Project
801	23671000087102	Canada Infoway Project	Canada Infoway Project
801	TMP-2hzsgq	Canada Infoway Project	Canada Infoway Project
801	TMP-5djocd	Canada Infoway Project	Canada Infoway Project
801	TMP-j7uqzl	Canada Infoway Project	Canada Infoway Project
801	abc	Canada Infoway Project	Canada Infoway Project
