terminologyId	description
140971000146107	Handpicked set of suicide observations.
140971000146107	Handpicked set of suicide observations.
140971000146107	Handpicked set of suicide observations.
140971000146107	Handpicked set of suicide observations.
140981000146109	Handpicked set of fall risk observations.
140981000146109	Handpicked set of fall risk observations.
140981000146109	Handpicked set of fall risk observations.
140981000146109	Handpicked set of fall risk observations.
140991000146106	Intensional reference set which contains all observations from the 3 nursing observation  simple reference sets listed below.
140991000146106	Intensional reference set which contains all observations from the 3 nursing observation  simple reference sets listed below.
140991000146106	Intensional reference set which contains all observations from the 3 nursing observation  simple reference sets listed below.
140991000146106	Intensional reference set which contains all observations from the 3 nursing observation  simple reference sets listed below.
141000181108	Eesti ABO veregrupid
141000181108	Eesti ABO veregrupid
141000181108	Eesti ABO veregrupid
141000181108	Eesti ABO veregrupid
141000181108	Eesti ABO veregrupid
141000181108	Eesti ABO veregrupid
141000181108	Eesti ABO veregrupid
141000181108	Eesti ABO veregrupid
141000210106	Endocrinology reference set has been developed to support reporting to National Patient Flow. This not limit to the use of this refset elsewhere in a clinical record
141000210106	Endocrinology subset has been developed to support reporting to National Patient Flow. This not limit to the use of this subset elsewhere in a clinical record
141000210106	Endocrinology reference set has been developed to support reporting to National Patient Flow. This not limit to the use of this refset elsewhere in a clinical record
141000210106	Endocrinology reference set has been developed to support reporting to National Patient Flow. This not limit to the use of this refset elsewhere in a clinical record
141000210106	Endocrinology reference set has been developed to support reporting to National Patient Flow. This not limit to the use of this refset elsewhere in a clinical record
141000210106	Endocrinology subset has been developed to support reporting to National Patient Flow. This not limit to the use of this subset elsewhere in a clinical record
141000210106	Endocrinology reference set has been developed to support reporting to National Patient Flow. This not limit to the use of this refset elsewhere in a clinical record
141000210106	Endocrinology subset has been developed to support reporting to National Patient Flow. This not limit to the use of this subset elsewhere in a clinical record
141000210106	NZ SACT medicine collection site
141000210106	NZ SACT medicine collection site
141000210106	Endocrinology reference set has been developed to support reporting to National Patient Flow. This not limit to the use of this refset elsewhere in a clinical record
141000210106	Endocrinology reference set has been developed to support reporting to National Patient Flow. This not limit to the use of this refset elsewhere in a clinical record
145871000146106	List of microbial culture results which are not organism species	 but findings that interpret the mix of species found
145871000146106	List of microbial culture results which are not organism species	 but findings that interpret the mix of species found
