id	negated	value
102622057	\0	< 185823004 |Finding of skin texture (finding)|\nMINUS ( << 366649008 |Finding of thickness of skin (finding)| \nOR << 297947008 |Finding of consistency of skin (finding)|)
103145203	\0	<410942007 |Drug or medicament|
103145204	\0	<410942007 |Drug or medicament|
103145205	\0	284009009 |Route of administration value|
103145206	\0	<284009009 |Route of administration value|
103145207	\0	<787859002 |Vaccine product|
103159753	\0	< 410720000 | Pain by sensation quality (finding)|
103159754		<< 363698007 |Finding site (attribute)|
103159755	\0	< 410720000
103159756		< 410720000 : 363698007 |Finding site (attribute)| = *
103162053	\0	< 185823004 |Finding of skin texture (finding)|
103162054		< 363698007 |Finding site (attribute)|
103162055		< 185823004 : 363698007 |Finding site (attribute)| = *
103162056	\0	< 410720000 | Pain by sensation quality (finding) |
103162057	\0	< 410720000 | Pain by sensation quality (finding) | MINUS < 123037004 | Body structure (body structure) |
103162060	\0	< 410720000 |Pain by sensation quality (finding)|: 363698007 |Finding site| = *
103162061	\0	< 410720000 |Pain by sensation quality (finding)|: [0..0] 363698007 |Finding site| = *
103314153	\0	< 410720000 | Pain by sensation quality (finding) |
103314154	\0	< 185823004 |Finding of skin texture (finding)|MINUS ( << 366649008 |Finding of thickness of skin (finding)| OR << 297947008 |Finding of consistency of skin (finding)|OR << 248194004 |Wrinkled face (finding)| OR << 275887009 |Scaly scalp (finding)| )
103316703	\0	<<778976006
103316704	\0	<<778976006
103316705	\0	<< 43116000 |Eczema (disorder)|
103772803	\0	<161424002 |H/O: viral illness|
103772804	\0	< 185823004 |Finding of skin texture (finding)|MINUS ( << 366649008 |Finding of thickness of skin (finding)| OR << 297947008 |Finding of consistency of skin (finding)|OR << 248194004 |Wrinkled face (finding)| OR << 275887009 |Scaly scalp (finding)| )
103802953	\0	<<260787004 |Physical object (physical object)|
105511203	\0	<185823004 |Finding of skin texture (finding)|
105511204	\0	<297947008 |Finding of consistency of skin (finding)|
105511205	\0	247430000 |Hard skin (finding)|
105511206	\0	297948003 |Normal skin consistency (finding)|
105511207	\0	<< 43116000 |Eczema (disorder)|
105511208	\0	<405277009 |legitimerad läkare som gör specialiseringstjänstgöring|
105511209	\0	(((<<102572006 |ödem i ben| OR <<444848005 |ryggödem|) MINUS <<403385000 |lymfödem i ben|) MINUS <<65605001 |ryggmärgsödem|) OR (271808008 |generaliserat ödem|) OR (248499004 |ödem i lågt belägna kroppsdelar|)
10674164	\0	<<301021005 |Ulcer of toe (disorder)|
10674165	\0	<<95345008 |Ulcer of foot (disorder)|
10674167	\0	<<95345008 |Ulcer of foot (disorder)|
106761003	\0	< 185823004 | Finding of skin texture (finding) | MINUS ((< 20795001 |Structure of skin region (body structure)| OR < 366649008 |Finding of thickness of skin (finding)| ) OR (< 276323006 |Finding of color of skin (finding)| OR <297971001 |Finding of sensation of skin (finding)|))
106761004	\0	< 185823004 | Finding of skin texture (finding) | MINUS (< 20795001 |Structure of skin region (body structure)| OR < 366649008 |Finding of thickness of skin (finding)| OR  < 276323006 |Finding of color of skin (finding)| OR <297971001 |Finding of sensation of skin (finding)|)
106761903	\0	<< 50043002
106761905	\0	<185823004 |Finding of skin texture|
106761906	\0	<185823004 |Finding of skin texture| MINUS (<< 366649008 |Finding of thickness of skin (finding)| OR << 297947008 |Finding of consistency of skin (finding)|)
10683211	\0	<<64572001 | Disease (disorder) |
10683212	\0	<71388002
10683213	\0	<53527002
10683216	\0	<<264395009 | Microorganism (organism) |
10683221	\0	<< 90260006 | Allergen (substance) |
10683222	\0	<<406455002 | Allergen class (substance) |
