terminologyId,description
672381000189106,"test refset"
672411000189107,"Patient Instructions Reference Set"
683861000189108,"Patient Instructions Reference Set"
68581000052104,"urval yrken"
68591000052102,"urval ej legitimerade yrken"
68661000052109,"urval specialisttjänstgöring läkare"
6991000202105,"Eksperimentelt subset/mapping for prosjekt henvisning 2_0"
7,"Pediatric Nephrology Description"
71000057100,"Urval för upplevt kön"
71000210108,"Ed presenting complaint subset is available to be used within DHBs to capture diagnosis"
712768323888,"Lokalisation used to specify"
712768323948,"Lokalisation used to specify"
716891004,"Description of refset SNOMED CT Spanish Edition"
721000172106,"a subset of concepts in the Belgian GP project"
721144007,"General Dentistry Refset"
721145008,"Concepts to populate an odontogram"
722128001,"Active Chinese [International Organization for Standardization 639-1 code zh] language reference set"
722129009,"Active International Health Terminology Standards Development Organisation starter set module japanese"
722130004,"Active International Health Terminology Standards Development Organisation starter set module german"
722131000,"Active International Health Terminology Standards Development Organisation starter set module french"
72281000003108,lkfjafkjsdfjas
723264001,"The reference set contains all body structures that can be lateralized."
72501000210101,"to capture all maternity previous procedures in maternity data"
72511000210104,"tocapture all previous outcomes in maternity data"
72521000210109,"to capture all previous mode of delivery in maternity data"
72531000210106,"to capture all previous findings in maternity data"
72541000210103,"to capture all previous complication in maternity data"
72551000210100,"to capture all previous disorders in maternity data"
72561000210102,"to capture all maternity procedures in maternity data"
72571000210108,"to capture all maternity outcomes in maternity data"
72581000210105,"to capture all mode of delivery in maternity data"
72591000210107,"to capture all findings in maternity data"
72601000210102,"to capture all maternity complication in maternity data"
72611000210100,"to capture all disorders in matenity data"
72621000210105,"To capture all Apgar score value in maternity data"
72631000210107,"To capture all complementary therapies that are available in maternity data"
72641000210104,"to capture all maternity screening and test in maternity data"
72651000210101,"to capture all substances in maternity data"
72661000210103,"to capture all family hisotry in maternity data"
72671000210109,"To capture terms related to alcohol consumption in maternity data"
72681000210106,"to capture all non-mediinal drug use in maternity data"
72691000210108,"to capture all non-medicinal drug in maternity data"
72721000210100,"New Zealand vaping status reference set"
72731000210103,"New Zealand smoking intervention reference set"
72741000210106,"To record smoking status by health providers"
731000172109,"subset of manifestation for POC FHIR"
73171000052105,"urval ödem som tecken på hjärtsvikt"
733876003,"SNOMED International Starter set"
733990004,"Candidate baseline"
733991000,"candidate baseline"
741000172102,"intentional subset of no known allergy for POC FHIR"
751000172100,"POC FHIR for causative agent without drugs"
751000220104,"Irish National Early Warning Score"
764976999,test
76941000003107,"Test for Adding Refset"
76981000003100,"Module D Exercise 2"
77091000003102,"Module D Assignment - RAO"
771000202103,"Referansesett for aktivitetskodeverk for patologi (A-PAT)"
771000220108,"Gynaecology discharge summary"
